model_type,version,language,dialect,phoneset,count
dictionary,v2.0.0a,spanish,latin_america,mfa,222
dictionary,v2.0.0a,russian,,mfa,487
dictionary,v2.0.0a,portuguese,portugal,mfa,34
dictionary,v2.0.0a,portuguese,,mfa,212
dictionary,v2.0.0a,portuguese,brazil,mfa,165
dictionary,v2.0.0a,polish,,mfa,171
dictionary,v2.0.0a,mandarin,taiwan,mfa,284
dictionary,v2.0.0a,mandarin,,mfa,1302
dictionary,v2.0.0a,mandarin,erhua,mfa,115
dictionary,v2.0.0a,mandarin,china,mfa,1021
dictionary,v2.0.0a,korean,,mfa,424
dictionary,v2.0.0a,hausa,,mfa,32
dictionary,v2.0.0a,german,,mfa,546
dictionary,v2.0.0a,french,,mfa,769
dictionary,v2.0.0a,english,us,mfa,663
dictionary,v2.0.0a,english,us,arpa,9197
dictionary,v2.0.0a,english,uk,mfa,361
dictionary,v2.0.0a,english,nigeria,mfa,26
dictionary,v2.0.0a,english,,mfa,858
dictionary,v2.0.0a,czech,,mfa,51
dictionary,v2.0.0a,croatian,,mfa,27
dictionary,v2.0.0a,bulgarian,,mfa,23
acoustic,v2.0.0a,vietnamese,,mfa,267
acoustic,v2.0.0a,ukrainian,,mfa,88
acoustic,v2.0.0a,turkish,,mfa,56
acoustic,v2.0.0a,thai,,mfa,106
acoustic,v2.0.0a,swedish,,mfa,105
acoustic,v2.0.0a,swahili,,mfa,56
acoustic,v2.0.0a,spanish,,mfa,5247
acoustic,v2.0.0a,russian,,mfa,509
acoustic,v2.0.0a,portuguese,,mfa,373
acoustic,v2.0.0a,polish,,mfa,179
acoustic,v2.0.0a,mandarin,,mfa,3023
acoustic,v2.0.0a,korean,,mfa,505
acoustic,v2.0.0a,hausa,,mfa,24
acoustic,v2.0.0a,german,,mfa,653
acoustic,v2.0.0a,french,,mfa,762
acoustic,v2.0.0a,english,us,arpa,10836
acoustic,v2.0.0a,english,,mfa,1861
acoustic,v2.0.0a,czech,,mfa,50
acoustic,v2.0.0a,croatian,,mfa,24
acoustic,v2.0.0a,bulgarian,,mfa,26
g2p,v2.0.0,russian,,mfa,45
g2p,v2.0.0,german,,mfa,26
g2p,v2.0.0,french,,mfa,32
g2p,v2.0.0,english,us,mfa,115
g2p,v2.0.0,english,uk,mfa,32
g2p,v2.0.0,english,nigeria,mfa,8
g2p,v2.0.0,czech,,mfa,7
dictionary,v2.0.0,russian,,mfa,54
dictionary,v2.0.0,mandarin,taiwan,mfa,46
dictionary,v2.0.0,mandarin,,mfa,371
dictionary,v2.0.0,mandarin,erhua,mfa,84
dictionary,v2.0.0,mandarin,china,mfa,555
dictionary,v2.0.0,german,,mfa,99
dictionary,v2.0.0,french,,mfa,134
dictionary,v2.0.0,english,us,mfa,236
dictionary,v2.0.0,english,uk,mfa,222
dictionary,v2.0.0,english,nigeria,mfa,14
dictionary,v2.0.0,english,,mfa,347
dictionary,v2.0.0,czech,,mfa,15
acoustic,v2.0.0,russian,,mfa,34
acoustic,v2.0.0,mandarin,,mfa,1136
acoustic,v2.0.0,german,,mfa,198
acoustic,v2.0.0,french,,mfa,65
acoustic,v2.0.0,english,,mfa,752
acoustic,v2.0.0,czech,,mfa,8
g2p,v2.0.0,swedish,,mfa,5
g2p,v2.0.0,portuguese,portugal,mfa,9
g2p,v2.0.0,portuguese,brazil,mfa,18
g2p,v2.0.0,polish,,mfa,20
g2p,v2.0.0,korean,,mfa,29
g2p,v2.0.0,korean,jamo,mfa,33
g2p,v2.0.0,english,us,arpa,229
dictionary,v2.0.0,swedish,,mfa,14
dictionary,v2.0.0,portuguese,portugal,mfa,15
dictionary,v2.0.0,portuguese,,mfa,57
dictionary,v2.0.0,portuguese,brazil,mfa,49
dictionary,v2.0.0,polish,,mfa,30
dictionary,v2.0.0,korean,,mfa,71
dictionary,v2.0.0,korean,jamo,mfa,170
acoustic,v2.0.0,swedish,,mfa,4
acoustic,v2.0.0,portuguese,,mfa,82
acoustic,v2.0.0,polish,,mfa,25
acoustic,v2.0.0,korean,,mfa,54
g2p,v2.0.0,vietnamese,hue,mfa,4
g2p,v2.0.0,vietnamese,ho_chi_minh_city,mfa,9
g2p,v2.0.0,vietnamese,hanoi,mfa,21
g2p,v2.0.0,ukrainian,,mfa,8
g2p,v2.0.0,turkish,,mfa,9
g2p,v2.0.0,thai,,mfa,14
g2p,v2.0.0,swahili,,mfa,5
g2p,v2.0.0,spanish,spain,mfa,24
g2p,v2.0.0,spanish,latin_america,mfa,20
g2p,v2.0.0,hausa,,mfa,4
g2p,v2.0.0,croatian,,mfa,7
g2p,v2.0.0,bulgarian,,mfa,7
dictionary,v2.0.0,vietnamese,,mfa,37
dictionary,v2.0.0,vietnamese,hue,mfa,25
dictionary,v2.0.0,vietnamese,ho_chi_minh_city,mfa,19
dictionary,v2.0.0,vietnamese,hanoi,mfa,31
dictionary,v2.0.0,ukrainian,,mfa,12
dictionary,v2.0.0,turkish,,mfa,16
dictionary,v2.0.0,thai,,mfa,33
dictionary,v2.0.0,swahili,,mfa,17
dictionary,v2.0.0,spanish,spain,mfa,48
dictionary,v2.0.0,spanish,,mfa,71
dictionary,v2.0.0,spanish,latin_america,mfa,68
dictionary,v2.0.0,hausa,,mfa,10
dictionary,v2.0.0,croatian,,mfa,16
dictionary,v2.0.0,bulgarian,,mfa,8
acoustic,v2.0.0,vietnamese,,mfa,100
acoustic,v2.0.0,ukrainian,,mfa,10
acoustic,v2.0.0,turkish,,mfa,12
acoustic,v2.0.0,thai,,mfa,20
acoustic,v2.0.0,swahili,,mfa,8
acoustic,v2.0.0,spanish,,mfa,102
acoustic,v2.0.0,hausa,,mfa,4
acoustic,v2.0.0,croatian,,mfa,7
acoustic,v2.0.0,bulgarian,,mfa,5
language_model,v2.0.0,bulgarian,,lm,8
dictionary,v2.0.0,vietnamese,,cv,47
dictionary,v2.0.0,uzbek,,cv,13
dictionary,v2.0.0,uyghur,,cv,24
dictionary,v2.0.0,urdu,,cv,24
dictionary,v2.0.0,ukrainian,,cv,13
dictionary,v2.0.0,turkish,,cv,28
dictionary,v2.0.0,thai,,cv,30
dictionary,v2.0.0,tatar,,cv,10
dictionary,v2.0.0,tamil,,cv,57
dictionary,v2.0.0,swedish,,cv,211
dictionary,v2.0.0,sorbian,upper,cv,5
dictionary,v2.0.0,russian,,cv,95
dictionary,v2.0.0,romanian,,cv,43
dictionary,v2.0.0,punjabi,,cv,19
dictionary,v2.0.0,portuguese,,cv,25
dictionary,v2.0.0,polish,,cv,28
dictionary,v2.0.0,mandarin,,pinyin,1397
dictionary,v2.0.0,maltese,,cv,11
dictionary,v2.0.0,kyrgyz,,cv,5
dictionary,v2.0.0,kurmanji,,cv,8
dictionary,v2.0.0,kazakh,,cv,26
dictionary,v2.0.0,italian,,cv,284
dictionary,v2.0.0,indonesian,,cv,44
dictionary,v2.0.0,hungarian,,cv,35
dictionary,v2.0.0,hindi,,cv,178
dictionary,v2.0.0,guarani,,cv,9
dictionary,v2.0.0,greek,,cv,88
dictionary,v2.0.0,german,,prosodylab,44
dictionary,v2.0.0,georgian,,cv,15
dictionary,v2.0.0,french,,prosodylab,51
dictionary,v2.0.0,english,us,arpa,756
dictionary,v2.0.0,dutch,,cv,177
dictionary,v2.0.0,czech,,cv,26
dictionary,v2.0.0,chuvash,,cv,9
dictionary,v2.0.0,bulgarian,,cv,13
dictionary,v2.0.0,belarusian,,cv,17
dictionary,v2.0.0,basque,,cv,33
dictionary,v2.0.0,bashkir,,cv,8
dictionary,v2.0.0,armenian,,cv,36
dictionary,v2.0.0,abkhaz,,cv,26
acoustic,v2.0.0,vietnamese,,cv,49
acoustic,v2.0.0,uzbek,,cv,8
acoustic,v2.0.0,uyghur,,cv,16
acoustic,v2.0.0,ukrainian,,cv,14
acoustic,v2.0.0,turkish,,cv,21
acoustic,v2.0.0,thai,,cv,18
acoustic,v2.0.0,tatar,,cv,11
acoustic,v2.0.0,tamil,,cv,68
acoustic,v2.0.0,swedish,,cv,208
acoustic,v2.0.0,sorbian,upper,cv,5
acoustic,v2.0.0,russian,,cv,99
acoustic,v2.0.0,romanian,,cv,30
acoustic,v2.0.0,portuguese,,cv,32
acoustic,v2.0.0,polish,,cv,18
acoustic,v2.0.0,kyrgyz,,cv,10
acoustic,v2.0.0,kurmanji,,cv,6
acoustic,v2.0.0,kazakh,,cv,21
acoustic,v2.0.0,italian,,cv,294
acoustic,v2.0.0,hungarian,,cv,43
acoustic,v2.0.0,hausa,,cv,18
acoustic,v2.0.0,guarani,,cv,3
acoustic,v2.0.0,greek,,cv,95
acoustic,v2.0.0,georgian,,cv,9
acoustic,v2.0.0,english,us,arpa,962
acoustic,v2.0.0,dutch,,cv,171
acoustic,v2.0.0,czech,,cv,16
acoustic,v2.0.0,chuvash,,cv,9
acoustic,v2.0.0,bulgarian,,cv,5
acoustic,v2.0.0,belarusian,,cv,11
acoustic,v2.0.0,basque,,cv,30
acoustic,v2.0.0,bashkir,,cv,7
acoustic,v2.0.0,armenian,,cv,22
acoustic,v2.0.0,abkhaz,,cv,25
g2p,v1.0,arabic,,global_phone,9
g2p,v1.0,bulgarian,,global_phone,2
g2p,v1.0,croatian,,global_phone,2
g2p,v1.0,czech,,global_phone,2
g2p,v1.0,english,,arpa,9
g2p,v1.0,french,,global_phone,7
g2p,v1.0,french,,lexique,4
g2p,v1.0,french,,prosodylab,5
g2p,v1.0,german,,global_phone,2
g2p,v1.0,german,,prosodylab,2
g2p,v1.0,hausa,,global_phone,2
g2p,v1.0,japanese,,global_phone,19
g2p,v1.0,korean,,global_phone,18
g2p,v1.0,mandarin,,pinyin,22
g2p,v1.0,mandarin,,pinyin,114
g2p,v1.0,polish,,global_phone,2
g2p,v1.0,portuguese,,global_phone,3
g2p,v1.0,russian,,global_phone,8
g2p,v1.0,spanish,,global_phone,12
g2p,v1.0,swahili,,global_phone,3
g2p,v1.0,swedish,,global_phone,4
g2p,v1.0,thai,,global_phone,4
g2p,v1.0,turkish,,global_phone,3
g2p,v1.0,ukrainian,,global_phone,3
g2p,v1.0,vietnamese,,global_phone,4
acoustic,v1.0,arabic,,global_phone,7
acoustic,v1.0,bulgarian,,global_phone,13
acoustic,v1.0,croatian,,global_phone,6
acoustic,v1.0,czech,,global_phone,6
acoustic,v1.0,english,,arpa,263
acoustic,v1.0,english,,arpa,5
acoustic,v1.0,french,,global_phone,14
acoustic,v1.0,french,,prosodylab,12
acoustic,v1.0,french,qc,global_phone,13
acoustic,v1.0,german,,global_phone,9
acoustic,v1.0,german,,prosodylab,6
acoustic,v1.0,hausa,,global_phone,5
acoustic,v1.0,korean,,global_phone,18
acoustic,v1.0,mandarin,,pinyin,465
acoustic,v1.0,polish,,global_phone,8
acoustic,v1.0,portuguese,,global_phone,5
acoustic,v1.0,russian,,global_phone,10
acoustic,v1.0,spanish,,global_phone,19
acoustic,v1.0,swahili,,global_phone,6
acoustic,v1.0,swedish,,global_phone,7
acoustic,v1.0,thai,,global_phone,6
acoustic,v1.0,turkish,,global_phone,13
acoustic,v1.0,ukrainian,,global_phone,5
acoustic,v1.0,vietnamese,,global_phone,9
