file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation
mfa_kmg,0.0,1.3444375,kaylynn,-53.96136383512127,-55.517515394422745,1.3587324409735149
mfa,0.0,1.3586848072562359,michael,-54.09031032986111,-53.691039615207245,1.1666666666666667
